packets-serviced,client-guid,packets-requested,service-guid,retries-request,request-time,client-address,max-hole-size
10,0ab47f58-2c17-4b8d-9bd1-20ca3b924877,7,3cc76b74-7d16-4651-9699-34332a56f6e7,8,2016-06-28 17:05:59 ADT,100.244.243.255,6
9,c6379614-8ad6-4318-b21f-8f977ce874ec,12,52073b51-cd51-4438-bd54-3bce3a7c239f,5,2016-06-29 03:58:24 ADT,166.224.30.98,14
13,607c9370-5251-4f08-9468-709de19594b1,13,185ec7fa-2efc-424e-835f-de882857f55e,5,2016-06-28 21:54:53 ADT,138.245.228.58,5
17,253462d8-f8c4-41d5-9d0d-56ae360b8138,10,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,7,2016-06-28 19:06:50 ADT,121.160.149.186,14
16,63652f6f-5441-4ad0-a5e7-9c0818e4696b,3,d224de85-cd41-4f03-bff6-de9815877975,3,2016-06-28 11:56:14 ADT,240.107.225.33,6
16,8bf2b921-0ee0-493d-8012-8a4459bfda3e,18,8151ff61-4777-4187-b719-e750b91281c8,9,2016-06-28 21:11:51 ADT,60.130.118.153,11
5,6949c7c0-6852-4ffa-a46f-9a64190e8b78,9,8de44210-f265-4f16-a94b-8b0eadc0de23,9,2016-06-29 05:00:53 ADT,9.101.131.209,15
14,3ca02581-5742-4d1f-a0ab-aeed545c1275,16,98279a79-c822-45b4-8429-45ce97a336e5,7,2016-06-29 08:32:26 ADT,50.34.94.184,8
11,24113397-eb06-4020-bf79-22f576fea3e2,16,e16b762f-d0a2-4e1f-95a2-2ee9985c6aff,6,2016-06-28 09:27:47 ADT,229.8.97.235,7
11,607c9370-5251-4f08-9468-709de19594b1,6,d224de85-cd41-4f03-bff6-de9815877975,3,2016-06-29 03:30:17 ADT,138.245.228.58,14
9,a3ecf55a-6220-428c-8db9-8079d7ebd878,13,c5a5edbb-338d-449a-99cb-1baeba48abb2,6,2016-06-28 20:35:55 ADT,79.200.199.206,11
11,0c592e15-c7c6-441b-9ee4-71a46608d5cb,16,98279a79-c822-45b4-8429-45ce97a336e5,2,2016-06-28 22:40:35 ADT,63.238.170.201,7
14,849f679f-02b2-485f-8e0c-66d138bc7bb7,10,7f386bb2-4bbf-4f14-b56e-3dad78f28674,3,2016-06-29 01:23:39 ADT,44.53.33.231,16
6,1eafc017-80fb-4121-910b-de0f6df88819,19,fa005302-61ce-44ca-88a5-015fd4392f37,7,2016-06-28 22:54:45 ADT,63.112.127.116,7
10,c6379614-8ad6-4318-b21f-8f977ce874ec,16,c5a5edbb-338d-449a-99cb-1baeba48abb2,3,2016-06-28 17:00:48 ADT,166.224.30.98,15
14,63692772-093d-43a4-a8d2-ca1f75394702,3,8de44210-f265-4f16-a94b-8b0eadc0de23,8,2016-06-28 19:24:00 ADT,93.12.96.248,7
10,a2baa715-405b-4f6b-86b4-ec77e30b563e,9,8de44210-f265-4f16-a94b-8b0eadc0de23,3,2016-06-28 19:24:14 ADT,60.21.167.133,17
8,7a31a821-d6c7-42a5-a00f-34263f2cb438,14,98279a79-c822-45b4-8429-45ce97a336e5,5,2016-06-28 18:10:34 ADT,226.62.150.59,13
13,4cb4360f-7947-4c97-a4cd-9544bbd17eb5,16,fa005302-61ce-44ca-88a5-015fd4392f37,8,2016-06-28 11:57:58 ADT,140.214.11.29,13
0,b7dde0a3-6c73-438a-9669-5e1d3efdc5a4,15,3cc76b74-7d16-4651-9699-34332a56f6e7,6,2016-06-29 03:19:54 ADT,115.89.140.166,15
13,b7dde0a3-6c73-438a-9669-5e1d3efdc5a4,16,8232ac92-6020-4101-88c0-74d51ea1542b,6,2016-06-29 02:29:21 ADT,115.89.140.166,11
